league,team,team_uri,coach,coach_uri
Serie A,A.S. Roma,http://www.wikidata.org/entity/Q2739,Claudio Ranieri,http://www.wikidata.org/entity/Q235068
Serie A,Venezia F.C.,http://www.wikidata.org/entity/Q501245,Eusebio Di Francesco,http://www.wikidata.org/entity/Q396154
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Fabio Grosso,http://www.wikidata.org/entity/Q230529
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Igor Tudor,http://www.wikidata.org/entity/Q276544
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Paolo Zanetti,http://www.wikidata.org/entity/Q1494098
Serie A,US Lecce,http://www.wikidata.org/entity/Q13391,Marco Giampaolo,http://www.wikidata.org/entity/Q2704759
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Maurizio Sarri,http://www.wikidata.org/entity/Q3852721
Serie A,U.S. Salernitana 1919,http://www.wikidata.org/entity/Q847587,Fabio Liverani,http://www.wikidata.org/entity/Q381262
Serie A,SS Lazio,http://www.wikidata.org/entity/Q2609,Marco Baroni,http://www.wikidata.org/entity/Q1317738
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Ivan Jurić,http://www.wikidata.org/entity/Q556688
Serie A,AC Milan,http://www.wikidata.org/entity/Q1543,Paulo Fonseca,http://www.wikidata.org/entity/Q10346582
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Eusebio Di Francesco,http://www.wikidata.org/entity/Q396154
Serie A,Atalanta BC,http://www.wikidata.org/entity/Q1886,Gian Piero Gasperini,http://www.wikidata.org/entity/Q367846
Serie A,AC Monza,http://www.wikidata.org/entity/Q289482,Alessandro Nesta,http://www.wikidata.org/entity/Q227892
Serie A,Empoli FC,http://www.wikidata.org/entity/Q6703,Roberto D'Aversa,http://www.wikidata.org/entity/Q573195
Serie A,Bologna F.C. 1909,http://www.wikidata.org/entity/Q1893,Vincenzo Italiano,http://www.wikidata.org/entity/Q1091404
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639,Marco Zaffaroni,http://www.wikidata.org/entity/Q3846591
Serie A,ACF Fiorentina,http://www.wikidata.org/entity/Q2052,Raffaele Palladino,http://www.wikidata.org/entity/Q282551
Serie A,Como 1907,http://www.wikidata.org/entity/Q1120838,Cesc Fàbregas,http://www.wikidata.org/entity/Q17499
Serie A,Udinese Calcio,http://www.wikidata.org/entity/Q2798,Kosta Runjaić,http://www.wikidata.org/entity/Q1785131
